dstport,protocol,tag
62574,UDP,FTP
59437,ICMP,SSH
4375,UDP,Telnet
54060,UDP,DNS
43105,ICMP,FTP
39346,UDP,IMAP
38485,ICMP,SMTP
412,ICMP,SMTP
463,ICMP,HTTP
56976,TCP,HTTP
10281,UDP,FTP
10316,TCP,SMTP
52808,TCP,POP3
40259,ICMP,SSH
30028,TCP,POP3
5555,TCP,SSH
32907,ICMP,HTTP
46189,UDP,POP3
44246,TCP,POP3
58686,UDP,IMAP
27644,UDP,POP3
36385,TCP,SSH
55311,TCP,FTP
40509,TCP,POP3
39821,TCP,SSH
7596,TCP,FTP
1306,ICMP,IMAP
45726,UDP,HTTPS
8277,UDP,SSH
23488,ICMP,HTTP
58385,ICMP,FTP
31297,ICMP,SMTP
42148,ICMP,Telnet
39636,ICMP,SSH
60111,UDP,DNS
42157,UDP,SSH
45956,ICMP,SSH
12425,ICMP,HTTP
45793,UDP,FTP
16439,UDP,HTTP
36237,TCP,FTP
24955,TCP,SSH
1760,ICMP,SMTP
48559,TCP,POP3
24051,UDP,Telnet
1395,ICMP,POP3
53142,TCP,POP3
35344,UDP,POP3
43628,ICMP,IMAP
64856,ICMP,Telnet
63445,TCP,FTP
20584,TCP,HTTPS
9694,UDP,HTTP
14095,UDP,FTP
27636,UDP,HTTPS
3369,TCP,Telnet
59875,UDP,SMTP
46734,UDP,HTTP
45026,TCP,HTTPS
62030,TCP,HTTPS
56613,ICMP,IMAP
29707,UDP,IMAP
14781,TCP,FTP
63808,ICMP,SSH
27071,ICMP,POP3
47478,TCP,SSH
28854,UDP,SMTP
110,ICMP,IMAP
41701,ICMP,FTP
19739,TCP,SMTP
45040,ICMP,IMAP
61699,UDP,Telnet
44860,TCP,HTTP
46812,ICMP,DNS
14824,ICMP,SMTP
28038,UDP,IMAP
29803,UDP,POP3
27896,UDP,DNS
63902,ICMP,DNS
50136,UDP,SMTP
3276,UDP,Telnet
54514,UDP,SSH
55205,UDP,DNS
31220,ICMP,IMAP
49739,ICMP,Telnet
29349,TCP,SSH
49829,TCP,POP3
31970,ICMP,SSH
40224,ICMP,HTTPS
12316,UDP,FTP
52040,UDP,POP3
64112,ICMP,IMAP
52639,ICMP,FTP
13995,ICMP,Telnet
36795,UDP,SSH
50470,ICMP,IMAP
37566,ICMP,Telnet
22454,TCP,DNS
40030,TCP,DNS
51702,ICMP,SMTP
44325,UDP,SMTP
32942,TCP,Telnet
6507,ICMP,DNS
18109,UDP,FTP
37560,ICMP,POP3
62780,TCP,SMTP
61848,TCP,SMTP
9241,ICMP,HTTPS
15580,ICMP,DNS
44222,ICMP,Telnet
17512,TCP,IMAP
29947,TCP,HTTP
15274,ICMP,Telnet
45779,UDP,SSH
64177,ICMP,SMTP
48438,UDP,SSH
17867,UDP,POP3
20425,UDP,SSH
50251,ICMP,IMAP
56765,UDP,DNS
35610,UDP,POP3
2028,UDP,SMTP
17029,ICMP,SSH
29698,TCP,HTTPS
54626,ICMP,IMAP
55136,TCP,DNS
52138,TCP,HTTPS
12936,UDP,HTTP
30221,ICMP,POP3
21102,TCP,DNS
27925,ICMP,HTTP
54940,TCP,IMAP
38419,UDP,DNS
31427,ICMP,Telnet
13040,TCP,POP3
30226,ICMP,HTTP
16581,ICMP,IMAP
36956,ICMP,DNS
4427,TCP,HTTPS
47456,ICMP,SMTP
47345,ICMP,IMAP
51135,TCP,FTP
20493,UDP,IMAP
48944,TCP,Telnet
27203,ICMP,POP3
27308,ICMP,DNS
14154,TCP,HTTPS
23788,UDP,Telnet
35912,TCP,IMAP
17516,ICMP,SSH
63777,ICMP,HTTPS
13326,ICMP,HTTPS
15584,TCP,FTP
57155,ICMP,FTP
25691,UDP,HTTPS
13463,ICMP,SMTP
49648,TCP,IMAP
662,TCP,SSH
5789,TCP,Telnet
51042,UDP,FTP
934,TCP,IMAP
16662,TCP,SSH
5392,ICMP,DNS
44972,UDP,DNS
56791,TCP,SMTP
60195,UDP,SMTP
1562,ICMP,Telnet
22520,TCP,POP3
14264,TCP,SMTP
51767,UDP,FTP
1193,ICMP,HTTPS
21657,TCP,SSH
25555,UDP,POP3
63930,TCP,SSH
44014,TCP,IMAP
27458,ICMP,POP3
18549,TCP,IMAP
35322,TCP,DNS
60267,ICMP,HTTP
37294,TCP,HTTPS
40882,UDP,HTTP
60975,UDP,Telnet
30935,TCP,FTP
64878,ICMP,SMTP
51764,UDP,HTTPS
11509,TCP,HTTPS
25181,UDP,DNS
8971,ICMP,DNS
59673,ICMP,DNS
2632,UDP,FTP
23402,ICMP,HTTPS
26770,TCP,HTTP
51609,TCP,SMTP
42583,TCP,SSH
60327,ICMP,SSH
57672,ICMP,SMTP
315,ICMP,Telnet
8854,ICMP,IMAP
13175,TCP,DNS
17950,ICMP,HTTPS
25014,UDP,SSH
36103,UDP,HTTP
22003,UDP,HTTP
425,ICMP,FTP
10197,ICMP,HTTP
58224,TCP,FTP
52855,ICMP,FTP
1771,TCP,IMAP
26464,TCP,HTTP
44181,TCP,DNS
49588,TCP,DNS
58227,ICMP,Telnet
58915,TCP,SSH
13754,TCP,Telnet
9689,TCP,Telnet
64775,UDP,FTP
6188,ICMP,HTTPS
38150,TCP,SMTP
12786,ICMP,IMAP
8141,UDP,HTTPS
64777,TCP,Telnet
61917,TCP,DNS
21155,ICMP,Telnet
36351,TCP,POP3
52182,ICMP,IMAP
62337,UDP,Telnet
62287,TCP,HTTPS
54493,TCP,Telnet
24231,ICMP,Telnet
12838,TCP,Telnet
54903,TCP,IMAP
21855,UDP,FTP
33073,UDP,SMTP
53160,TCP,DNS
15667,ICMP,POP3
61027,UDP,HTTPS
45727,ICMP,HTTP
33538,UDP,DNS
42808,TCP,SMTP
55279,UDP,SSH
7676,TCP,POP3
62480,UDP,DNS
65089,ICMP,SSH
59193,ICMP,DNS
54734,TCP,Telnet
31588,UDP,Telnet
34524,UDP,DNS
61864,UDP,IMAP
45363,TCP,Telnet
24487,ICMP,HTTPS
16497,TCP,Telnet
29640,TCP,SSH
38182,ICMP,Telnet
32155,UDP,POP3
49518,TCP,FTP
23854,TCP,SSH
60823,ICMP,SMTP
27489,ICMP,SSH
53490,UDP,FTP
4674,ICMP,HTTPS
5011,TCP,FTP
19372,TCP,DNS
25401,ICMP,SMTP
4792,TCP,POP3
55979,UDP,FTP
61768,UDP,HTTP
40645,UDP,FTP
36697,ICMP,FTP
54406,ICMP,IMAP
65077,TCP,SSH
39499,TCP,HTTP
57136,ICMP,SSH
61206,ICMP,HTTP
26250,UDP,SSH
11189,TCP,HTTPS
64329,TCP,POP3
52992,ICMP,HTTPS
42988,UDP,SMTP
27674,ICMP,POP3
28836,TCP,SMTP
34714,ICMP,SSH
30591,TCP,IMAP
15151,UDP,Telnet
36309,ICMP,HTTP
40280,UDP,Telnet
38315,UDP,DNS
56307,ICMP,HTTPS
4276,TCP,DNS
6768,UDP,HTTP
23090,TCP,Telnet
21778,ICMP,DNS
65131,UDP,IMAP
11145,ICMP,DNS
28660,UDP,FTP
35334,UDP,FTP
14184,UDP,SMTP
34298,ICMP,FTP
38351,ICMP,DNS
30189,ICMP,HTTP
53216,UDP,SMTP
38833,ICMP,Telnet
39160,UDP,POP3
5955,TCP,FTP
57818,ICMP,SMTP
30425,ICMP,HTTP
56251,ICMP,Telnet
40373,UDP,DNS
1596,ICMP,DNS
54934,ICMP,DNS
16611,TCP,IMAP
24979,ICMP,SSH
6654,ICMP,HTTP
697,TCP,HTTP
63346,ICMP,DNS
2649,UDP,POP3
37207,ICMP,HTTP
13261,TCP,HTTP
22377,UDP,DNS
51883,UDP,DNS
7195,ICMP,POP3
51984,TCP,SMTP
51965,UDP,POP3
48204,TCP,SMTP
50571,TCP,HTTPS
39620,TCP,POP3
59018,TCP,FTP
38317,ICMP,SMTP
134,ICMP,FTP
29133,UDP,HTTPS
52041,ICMP,IMAP
25962,ICMP,SSH
5070,ICMP,FTP
49739,UDP,DNS
42228,UDP,IMAP
20264,TCP,SSH
45519,TCP,SMTP
17834,UDP,HTTPS
65505,UDP,Telnet
11060,ICMP,POP3
1052,TCP,FTP
55199,ICMP,Telnet
61412,ICMP,HTTP
44294,TCP,POP3
17706,UDP,IMAP
3724,ICMP,SSH
21072,TCP,Telnet
4969,UDP,Telnet
40459,ICMP,SMTP
40448,UDP,FTP
55682,UDP,POP3
32793,ICMP,DNS
2048,ICMP,DNS
33980,UDP,SMTP
6494,UDP,HTTPS
52371,UDP,POP3
40626,UDP,DNS
29602,UDP,HTTP
43735,TCP,FTP
55441,TCP,FTP
51469,UDP,SMTP
50586,ICMP,HTTP
51647,TCP,HTTP
12592,TCP,HTTP
1765,UDP,DNS
5099,TCP,FTP
49621,ICMP,SSH
14198,TCP,SSH
10608,TCP,DNS
43725,TCP,DNS
8571,ICMP,DNS
7569,TCP,HTTPS
30944,UDP,IMAP
5050,UDP,Telnet
30357,ICMP,SSH
61381,ICMP,POP3
8336,TCP,HTTPS
10384,TCP,SMTP
56065,TCP,POP3
2354,TCP,Telnet
26035,UDP,POP3
4197,ICMP,FTP
17687,ICMP,SMTP
62516,TCP,DNS
63907,UDP,POP3
56734,TCP,Telnet
58649,UDP,SSH
52444,TCP,Telnet
62682,UDP,FTP
25911,ICMP,POP3
44169,ICMP,SSH
65505,TCP,FTP
20918,TCP,SMTP
3440,TCP,DNS
12464,ICMP,Telnet
50612,UDP,SMTP
8769,ICMP,IMAP
849,UDP,Telnet
41775,ICMP,SMTP
2114,UDP,HTTP
9157,ICMP,Telnet
56255,TCP,DNS
11421,ICMP,DNS
15722,TCP,HTTPS
8444,ICMP,HTTP
13704,TCP,HTTPS
28725,UDP,SSH
12219,TCP,HTTPS
34231,ICMP,POP3
59271,TCP,DNS
15337,ICMP,SSH
44374,TCP,HTTPS
65041,UDP,FTP
60338,UDP,HTTPS
11026,ICMP,HTTPS
64547,TCP,FTP
41915,UDP,DNS
48787,UDP,SSH
30500,TCP,SMTP
8769,ICMP,FTP
37345,ICMP,HTTP
36309,TCP,Telnet
22489,ICMP,Telnet
34853,TCP,Telnet
43295,ICMP,HTTP
4658,TCP,SSH
11706,ICMP,DNS
32910,TCP,SMTP
49883,UDP,SSH
19516,UDP,Telnet
28977,TCP,HTTP
55476,UDP,IMAP
37503,ICMP,SSH
1042,TCP,SMTP
24401,ICMP,HTTP
10700,TCP,IMAP
14032,UDP,IMAP
14922,TCP,IMAP
12111,UDP,HTTP
61719,UDP,IMAP
64043,ICMP,POP3
25398,UDP,POP3
23777,ICMP,FTP
57924,ICMP,HTTP
24215,ICMP,HTTP
61834,ICMP,HTTP
55568,UDP,SMTP
17917,UDP,Telnet
7899,ICMP,FTP
64562,UDP,SSH
31301,TCP,HTTP
60866,ICMP,HTTP
43180,UDP,Telnet
7758,TCP,SMTP
